name,description,website,cause_area,country,city,programme_types,revenue,employees
The Asia Foundation,"The Asia Foundation is a nonprofit international development organization committed to “improving lives across a dynamic and developing Asia.”[2] Informed by six decades of experience and deep local expertise, its programs address critical issues affecting Asia in the 21st century—governance and law, economic development, women's empowerment, environment, and regional cooperation. Headquartered in San Francisco, The Asia Foundation works through a network of 18 offices in 18 Asian countries and in Washington, DC.",www.asiafoundation.org,NA,Thailand,NA,NA,"$120,916,066[1]",NA
Ko Samui,"Ko Samui (or Koh Samui, Thai: เกาะสมุย, pronounced [kɔ̀ʔ sā.mūj]) is an island off the east coast of the Kra Isthmus, Thailand. Geographically in the Chumphon Archipelago, it is part of Surat Thani Province, though as of 2012, Ko Samui was granted Municipality status and thus is now locally self-governing. Ko Samui is Thailand's second-largest island after Phuket, with an area of 228.7 km2, a population of over 63,000 and a hotel occupancy rate of 73 percent as the number of visitors continues to increase.[1] Abundant tourist resources, sandy beaches, coral reefs, and coconut trees are present on the island.",NA,NA,Thailand,NA,NA,NA,NA
Rotary International,"Rotary International is an international service organization whose stated purpose is to bring together business and professional leaders in order to provide humanitarian services, encourage high ethical standards in all vocations, and to advance goodwill and peace around the world. It is a non-political and non-sectarian organization open to all people regardless of race, color, creed, religion, gender, or political preference. There are 34,282 member clubs worldwide, and 1.2 million individuals, known as Rotarians, have joined.[1]",www.rotary.org,NA,Thailand,NA,NA,NA,NA
Christian Foundation for the Blind in Thailand,"The Christian Foundation for the Blind in Thailand (CFBT) is a non-profit charitable organization helping blind people and employing staff in Thailand regardless of gender, race or religion. It was founded in 1978 by Prayat Punong-ong,[1] a blind man who taught 13 blind children in a rental house in Khon Kaen Province.",www.cfbt.or.th,NA,Thailand,NA,NA,NA,NA
RADION International,"RADION International is a Christian humanitarian relief and development organisation that provides both short term as well as long-term assistance to underprivileged and marginalized communities in Asia. RADION International, headquartered in Chiang Mai, serves critically needy communities across northern Thailand. RADION International also has a field office in Phetchabun province that serves the largest concentration of hill-tribesmen in Thailand.",www.radion-international.org,Vulnerable & Marginalized Communities,Thailand,Thailand Laos Myanmar Singapore Philippines Pakistan,"Child rescue, Advocacy, Rehabilitation, Humanitarian Relief, Disaster Recovery, Community Development, Education, Livelihood development",NA,NA
World Food Programme,"The World Food Programme[a] (WFP) is the food-assistance branch of the United Nations and the world's largest humanitarian organization addressing hunger and promoting food security.[1] According to the WFP, it provides food assistance to an average of 80 million people in 76 countries each year.[2] From its headquarters in Rome and from more than 80 country offices around the world, the WFP works to help people who cannot produce or obtain enough food for themselves and their families. It is a member of the United Nations Development Group and part of its Executive Committee.[3]",www.wfp.org,NA,Thailand,NA,NA,NA,NA
Plan (aid organisation),"Plan International is an independent development and humanitarian organisation which works in 71 countries across world, in Africa, the Americas, and Asia to advance children’s rights and equality for girls.[1] Plan International is one of the world's largest organisations working for children's rights and gender equality. In 2016, Plan International reached 17.1 million girls and 15.5 million boys through its programming.",plan-international.org,NA,Thailand,NA,NA,€806 Million (2016),NA
United Nations Development Programme,The United Nations Development Programme (UNDP) is the United Nations' global development network.,www.undp.org,NA,Thailand,NA,NA,NA,NA
United Nations Development Programme,The United Nations Development Programme (UNDP) is the United Nations' global development network.,www.undp.org,NA,Thailand,NA,NA,NA,NA
Peace Corps,"The Peace Corps is a volunteer program run by the United States government. The stated mission of the Peace Corps includes providing technical assistance, helping people outside the United States to understand American culture, and helping Americans to understand the cultures of other countries. The work is generally related to social and economic development. Each program participant, a Peace Corps Volunteer, is an American citizen, typically with a college degree, who works abroad for a period of two years after three months of training.",NA,NA,Thailand,NA,NA,NA,NA
